Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Maranatha Baptist Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/maranatha-baptist-bible-college-23172\%22,"RNP, Regional Colleges (Midwest)",73.87%,N/A,1160 / 25
Marian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marian-university-1821\%22,"#25, Regional Colleges (Midwest)",54.62%,3.3,1110 / 25
Marian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marian-university-3861\%22,"#86, Regional Universities (Midwest)",77.01%,3.1,N/A / 23
Marietta College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marietta-college-3073\%22,"#4, Regional Colleges (Midwest)",67.62%,3.4,1220 / 26
Marist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marist-college-2765\%22,"#10, Regional Universities (North)",31.37%,3.3,1260 / 28
Marlboro College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marlboro-college-3690\%22,"RNP, National Liberal Arts Colleges",87.26%,N/A,N/A
Marquette University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marquette-university-3863\%22,"#75, National Universities",55.21%,N/A,1280 / 29
Mars Hill University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mars-hill-university-2944\%22,"#30, Regional Colleges (South)",68.65%,3.2,1050 / 23
Marshall University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marshall-university-3815\%22,"#39, Regional Universities (South)",79.82%,3.3,1110 / 24
Martin Luther College,http://premium.usnews.com/best-colleges/\%22/best-colleges/martin-luther-college-2361\%22,"#40, Regional Colleges (Midwest)",97.31%,N/A,N/A / 28
Martin Methodist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/martin-methodist-college-3504\%22,"#60, Regional Colleges (South)",94.62%,N/A,N/A
Martin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/martin-university-21408\%22,"Unranked, National Liberal Arts Colleges",N/A,N/A,N/A
Mary Baldwin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mary-baldwin-college-3723\%22,"#36, Regional Universities (South)",53.96%,3.3,1060 / 26
Marygrove College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marygrove-college-2284\%22,"RNP, Regional Universities (Midwest)",45.44%,N/A,N/A
Maryland Institute College of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryland-institute-college-of-art-2080\%22,"Unranked, Arts Schools",51.83%,3.5,1300
Marylhurst University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marylhurst-university-3199\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
Marymount Manhattan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marymount-manhattan-college-2769\%22,"RNP, National Liberal Arts Colleges",71.75%,3.4,1270 / 26
Marymount University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marymount-university-3724\%22,"#46, Regional Universities (South)",80.26%,3.2,1110 / 24
Maryville College,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryville-college-3505\%22,"#176, National Liberal Arts Colleges",65.66%,3.5,1120 / 26
Maryville University of St. Louis,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryville-university-of-st-louis-2482\%22,"#161, National Universities",71.27%,3.6,1220 / 27
Marywood University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marywood-university-3296\%22,"#48, Regional Universities (North)",69.09%,3.3,1130 / 26
Massachusetts College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-college-of-art-and-design-2180\%22,"Unranked, Arts Schools",70.02%,3.4,1200 / 25
Massachusetts College of Liberal Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-college-of-liberal-arts-2187\%22,"#176, National Liberal Arts Colleges",67.20%,3.1,1130 / 25
Massachusetts Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-institute-of-technology-2178\%22,"#7, National Universities",8.95%,N/A,1570 / 35
Massachusetts Maritime Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-maritime-academy-2181\%22,"#7, Regional Colleges (North)",77.26%,3,1140 / 25
Master's College and Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/masters-college-and-seminary-1220\%22,"#4, Regional Colleges (West)",61.37%,3.7,1230 / 27
Mayville State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mayville-state-university-2993\%22,"#58, Regional Colleges (Midwest)",59.81%,3.1,N/A / 22
McDaniel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcdaniel-college-2109\%22,"#126, National Liberal Arts Colleges",64.13%,3.5,1220 / 27
McGill University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcgill-university-CA0006\%22,Unranked,N/A,N/A,N/A
McKendree University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mckendree-university-1722\%22,"#68, Regional Universities (Midwest)",67.30%,3.5,1200 / 28
McMurry University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcmurry-university-3591\%22,"#15, Regional Colleges (West)",54.91%,3.5,1090 / 23
McNeese State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcneese-state-university-2017\%22,"#92, Regional Universities (South)",60.67%,3.4,1110 / 24
McPherson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcpherson-college-1933\%22,"#43, Regional Colleges (Midwest)",86.24%,N/A,N/A
MCPHS University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcphs-university-2165\%22,Unranked,N/A,N/A,N/A
Medaille College,http://premium.usnews.com/best-colleges/\%22/best-colleges/medaille-college-2777\%22,"RNP, Regional Universities (North)",59.79%,N/A,980 / 21
Medical University of South Carolina,http://premium.usnews.com/best-colleges/\%22/best-colleges/medical-university-of-south-carolina-3438\%22,Unranked,N/A,N/A,N/A
Memorial University of Newfoundland,http://premium.usnews.com/best-colleges/\%22/best-colleges/memorial-university-of-newfoundland-CA0007\%22,Unranked,N/A,N/A,N/A
Memphis College of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/memphis-college-of-art-3507\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Menlo College,http://premium.usnews.com/best-colleges/\%22/best-colleges/menlo-college-1236\%22,"#10, Regional Colleges (West)",92.19%,3.2,1095 / 25
Mercer University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercer-university-1580\%22,"#8, Regional Universities (South)",63.06%,3.7,1270 / 28
Mercy College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercy-college-2772\%22,"RNP, Regional Universities (North)",64.97%,2.9,N/A
Mercy College of Health Sciences,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercy-college-of-health-sciences-6273\%22,Unranked,N/A,N/A,N/A
Mercy College of Ohio,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercy-college-of-ohio-30970\%22,Unranked,N/A,N/A,N/A
Mercyhurst University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercyhurst-university-3297\%22,"#37, Regional Universities (North)",76.66%,3.4,1180 / 26
Meredith College,http://premium.usnews.com/best-colleges/\%22/best-colleges/meredith-college-2945\%22,"#2, Regional Colleges (South)",62.13%,3.1,1120 / 25
Merrimack College,http://premium.usnews.com/best-colleges/\%22/best-colleges/merrimack-college-2120\%22,"#10, Regional Colleges (North)",76.98%,N/A,1140 / 25
Messiah College,http://premium.usnews.com/best-colleges/\%22/best-colleges/messiah-college-3298\%22,"#5, Regional Colleges (North)",64.24%,3.7,1250 / 28
Methodist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/methodist-university-2946\%22,"#48, Regional Colleges (South)",60.58%,N/A,N/A
Metropolitan College of New York,http://premium.usnews.com/best-colleges/\%22/best-colleges/metropolitan-college-of-new-york-US0002\%22,"RNP, Regional Universities (North)",45.99%,N/A,N/A
Metropolitan State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/metropolitan-state-university-10374\%22,"RNP, Regional Universities (Midwest)",96.71%,N/A,N/A
Metropolitan State University of Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/metropolitan-state-university-of-denver-1360\%22,"#23, Regional Colleges (West)",71.16%,2.9,1200 / 23
Miami Dade College,http://premium.usnews.com/best-colleges/\%22/best-colleges/miami-dade-college-1506\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Miami International University of Art & Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/miami-international-university-of-art-design-8878\%22,Unranked,N/A,N/A,N/A
Miami University--Oxford,http://premium.usnews.com/best-colleges/\%22/best-colleges/miami-university-oxford-7104\%22,"#75, National Universities",72.80%,3.6,1290 / 29
Michigan State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/michigan-state-university-2290\%22,"#73, National Universities",70.56%,3.6,1270 / 28
Michigan Technological University,http://premium.usnews.com/best-colleges/\%22/best-colleges/michigan-technological-university-2292\%22,"#117, National Universities",76.59%,3.6,1330 / 29
Mid-America Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mid-america-christian-university-6942\%22,"RNP, Regional Colleges (West)",N/A,N/A,N/A
Mid-Atlantic Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mid-atlantic-christian-university-22809\%22,"Unranked, Regional Colleges (South)",35.85%,N/A,N/A
Mid-Continent University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mid-continent-university-25762\%22,"RNP, Regional Colleges (South)",87.11%,2.9,N/A
MidAmerica Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/midamerica-nazarene-university-7032\%22,"RNP, Regional Universities (Midwest)",97.84%,N/A,N/A
Middle Georgia State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/middle-georgia-state-college-7728\%22,"RNP, Regional Colleges (South)",65.59%,N/A,N/A
Middle Tennessee State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/middle-tennessee-state-university-3510\%22,"RNP, National Universities",66.87%,3.3,1170 / 24
Middlebury College,http://premium.usnews.com/best-colleges/\%22/best-colleges/middlebury-college-3691\%22,"#4, National Liberal Arts Colleges",17.16%,N/A,1480 / 33
Midland College,http://premium.usnews.com/best-colleges/\%22/best-colleges/midland-college-9797\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
Midland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/midland-university-2553\%22,"#67, Regional Colleges (Midwest)",98.01%,3.2,N/A / 24
Midstate College,http://premium.usnews.com/best-colleges/\%22/best-colleges/midstate-college-4568\%22,"Unranked, Regional Colleges (Midwest)",53.33%,N/A,N/A
Midway College,http://premium.usnews.com/best-colleges/\%22/best-colleges/midway-college-1975\%22,"#41, Regional Colleges (South)",51.65%,N/A,N/A
Midwestern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/midwestern-state-university-3592\%22,"RNP, Regional Universities (West)",75.26%,3.4,1110 / 23
Miles College,http://premium.usnews.com/best-colleges/\%22/best-colleges/miles-college-1028\%22,"RNP, Regional Colleges (South)",N/A,N/A,N/A
Millersville University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/millersville-university-of-pennsylvania-3325\%22,"#81, Regional Universities (North)",62.90%,N/A,1110 / 24
Milligan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/milligan-college-3511\%22,"#8, Regional Colleges (South)",67.32%,3.6,1190 / 27
Millikin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/millikin-university-1724\%22,"#13, Regional Colleges (Midwest)",55.45%,3.3,1160 / 26
Mills College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mills-college-1238\%22,"#5, Regional Universities (West)",62.68%,3.6,1280 / 27
Millsaps College,http://premium.usnews.com/best-colleges/\%22/best-colleges/millsaps-college-2414\%22,"#82, National Liberal Arts Colleges",54.77%,3.6,1220 / 29
Milwaukee Institute of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/milwaukee-institute-of-art-and-design-29113\%22,"Unranked, Arts Schools",61.03%,N/A,N/A
Milwaukee School of Engineering,http://premium.usnews.com/best-colleges/\%22/best-colleges/milwaukee-school-of-engineering-3868\%22,"#21, Regional Universities (Midwest)",56.95%,3.6,1310 / 29
Minneapolis College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/minneapolis-college-of-art-and-design-2365\%22,"Unranked, Arts Schools",61.26%,3.1,1220 / 26
Minnesota State University--Mankato,http://premium.usnews.com/best-colleges/\%22/best-colleges/minnesota-state-university-mankato-2360\%22,"#75, Regional Universities (Midwest)",66.15%,N/A,N/A / 24
Minnesota State University--Moorhead,http://premium.usnews.com/best-colleges/\%22/best-colleges/minnesota-state-university-moorhead-2367\%22,"#108, Regional Universities (Midwest)",83.64%,N/A,1130 / 25
Minot State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/minot-state-university-2994\%22,"#105, Regional Universities (Midwest)",53.64%,3.3,1093 / 25
Misericordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/misericordia-university-3247\%22,"#43, Regional Universities (North)",58.43%,3.3,1130 / 26
Mississippi College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-college-2415\%22,"#27, Regional Universities (South)",58.13%,3.4,1193 / 27
Mississippi State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-state-university-2423\%22,"#142, National Universities",69.34%,3.3,1230 / 27
Mississippi University for Women,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-university-for-women-2422\%22,"#51, Regional Universities (South)",44.03%,3.3,1090 / 25
Mississippi Valley State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-valley-state-university-2424\%22,"RNP, Regional Universities (South)",16.13%,N/A,N/A
Missouri Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-baptist-university-7540\%22,"RNP, Regional Universities (Midwest)",57.78%,N/A,1120 / 23
Missouri Southern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-southern-state-university-2488\%22,"#64, Regional Colleges (Midwest)",96.19%,3.2,N/A / 24
Missouri State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-state-university-2503\%22,"#68, Regional Universities (Midwest)",83.26%,3.6,1205 / 26
Missouri University of Science & Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-university-of-science-technology-2517\%22,"#128, National Universities",89.58%,3.7,1360 / 31
Missouri Valley College,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-valley-college-2489\%22,"RNP, Regional Colleges (Midwest)",49.94%,N/A,N/A
Missouri Western State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-western-state-university-2490\%22,"#71, Regional Colleges (Midwest)",100.00%,3.1,N/A / 23
Mitchell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mitchell-college-1393\%22,"Unranked, Regional Colleges (North)",N/A,N/A,N/A
Molloy College,http://premium.usnews.com/best-colleges/\%22/best-colleges/molloy-college-2775\%22,"#60, Regional Universities (North)",73.70%,3,1160 / 28
Monmouth College,http://premium.usnews.com/best-colleges/\%22/best-colleges/monmouth-college-1725\%22,"#165, National Liberal Arts Colleges",61.50%,3.2,N/A / 24
Monmouth University,http://premium.usnews.com/best-colleges/\%22/best-colleges/monmouth-university-2616\%22,"#30, Regional Universities (North)",71.13%,3.4,1140 / 26
Monroe College,http://premium.usnews.com/best-colleges/\%22/best-colleges/monroe-college-4799\%22,"#116, Regional Universities (North)",59.01%,2.8,N/A
Montana State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-state-university-2532\%22,"#201, National Universities",57.57%,3.3,1270 / 27
Montana State University--Billings,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-state-university-billings-2530\%22,"#88, Regional Universities (West)",96.87%,3.1,1140 / 24
Montana State University--Northern,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-state-university-northern-2533\%22,"Unranked, Regional Colleges (West)",64.02%,N/A,N/A
Montana Tech of the University of Montana,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-tech-of-the-university-of-montana-2531\%22,"Unranked, Regional Colleges (West)",89.66%,3.4,1230 / 27
Montclair State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/montclair-state-university-2617\%22,"#54, Regional Universities (North)",54.52%,N/A,1070
Monterrey Institute of Technology and Higher Education--Monterrey,http://premium.usnews.com/best-colleges/\%22/best-colleges/monterrey-institute-of-technology-and-higher-education-monterrey-MX0009\%22,Unranked,N/A,N/A,N/A
Montreat College,http://premium.usnews.com/best-colleges/\%22/best-colleges/montreat-college-2948\%22,"RNP, Regional Universities (South)",50.63%,N/A,N/A
Montserrat College of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/montserrat-college-of-art-20630\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Moody Bible Institute,http://premium.usnews.com/best-colleges/\%22/best-colleges/moody-bible-institute-1727\%22,Unranked,N/A,N/A,N/A
Moore College of Art & Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/moore-college-of-art-design-3300\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Moravian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/moravian-college-3301\%22,"#138, National Liberal Arts Colleges",78.52%,3.3,1140 / 26
Morehead State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/morehead-state-university-1976\%22,"#59, Regional Universities (South)",84.49%,3.3,1115 / 25
Morehouse College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morehouse-college-1582\%22,"#126, National Liberal Arts Colleges",66.42%,N/A,1140 / 24
Morgan State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/morgan-state-university-2083\%22,"RNP, National Universities",57.62%,2.7,960 / 19
Morningside College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morningside-college-1879\%22,"#22, Regional Colleges (Midwest)",62.55%,3.4,N/A / 25
Morris College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morris-college-3439\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Morrisville State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morrisville-state-college-2859\%22,"#44, Regional Colleges (North)",65.99%,3.1,980 / 22
Mount Aloysius College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-aloysius-college-3302\%22,"#39, Regional Colleges (North)",68.76%,3.2,1000 / 22
Mount Angel Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-angel-seminary-3203\%22,Unranked,N/A,N/A,N/A
Mount Carmel College of Nursing,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-carmel-college-of-nursing-30719\%22,Unranked,N/A,N/A,N/A
Mount Holyoke College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-holyoke-college-2192\%22,"#38, National Liberal Arts Colleges",42.08%,3.7,1420 / 31
Mount Ida College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-ida-college-2193\%22,"#37, Regional Colleges (North)",67.86%,2.5,970 / 22
Mount Marty College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-marty-college-3465\%22,"#43, Regional Colleges (Midwest)",71.43%,3.3,N/A / 24
Mount Mary University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-mary-university-3869\%22,"#106, Regional Universities (Midwest)",48.81%,3.2,N/A / 22
Mount Mercy University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-mercy-university-1880\%22,"#25, Regional Colleges (Midwest)",69.74%,3.4,N/A / 24
Mount Olive College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-olive-college-2949\%22,"#51, Regional Colleges (South)",49.79%,N/A,1020 / 20
Mount St. Mary College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-mary-college-2778\%22,"#111, Regional Universities (North)",81.13%,3.1,1100 / 25
Mount St. Mary's College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-marys-college-1243\%22,"#20, Regional Universities (West)",71.21%,3.4,1020 / 20
Mount St. Mary's University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-marys-university-2086\%22,"#20, Regional Universities (North)",55.46%,3.4,1200 / 23
Mount Vernon Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-vernon-nazarene-university-7085\%22,"#77, Regional Universities (Midwest)",73.30%,3.3,1180 / 27
Mount Washington College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-washington-college-4729\%22,"Unranked, Regional Colleges (North)",N/A,N/A,N/A
Muhlenberg College,http://premium.usnews.com/best-colleges/\%22/best-colleges/muhlenberg-college-3304\%22,"#65, National Liberal Arts Colleges",45.71%,3.3,1360 / 31
Multnomah University,http://premium.usnews.com/best-colleges/\%22/best-colleges/multnomah-university-3206\%22,Unranked,N/A,3.1,1200 / 24
Murray State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/murray-state-university-1977\%22,"#25, Regional Universities (South)",82.22%,3.3,N/A / 25
Muskingum University,http://premium.usnews.com/best-colleges/\%22/best-colleges/muskingum-university-3084\%22,"#57, Regional Universities (Midwest)",77.02%,3.1,1160 / 24
Naropa University,http://premium.usnews.com/best-colleges/\%22/best-colleges/naropa-university-21175\%22,"Unranked, Regional Universities (West)",82.80%,N/A,N/A
National American University,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-american-university-4057\%22,"Unranked, Regional Universities (Midwest)",N/A,N/A,N/A
National Graduate School of Quality Management,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-graduate-school-of-quality-management-441478\%22,"Unranked, Business Schools",N/A,N/A,N/A
National Hispanic University,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-hispanic-university-25184\%22,"Unranked, National Liberal Arts Colleges",N/A,N/A,N/A
National Labor College,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-labor-college-34555\%22,"Unranked, Business Schools",N/A,N/A,N/A
National University,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-university-11460\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
National-Louis University,http://premium.usnews.com/best-colleges/\%22/best-colleges/national-louis-university-1733\%22,"RNP, National Universities",29.81%,N/A,N/A
Nazarene Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/nazarene-bible-college-13007\%22,Unranked,N/A,N/A,N/A
Nazareth College,http://premium.usnews.com/best-colleges/\%22/best-colleges/nazareth-college-2779\%22,"#27, Regional Universities (North)",71.15%,3.5,1240 / 27
Nebraska Methodist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/nebraska-methodist-college-6404\%22,Unranked,N/A,3.5,992 / 24
Nebraska Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/nebraska-wesleyan-university-2555\%22,"#146, National Liberal Arts Colleges",79.01%,N/A,N/A / 28
Neumann University,http://premium.usnews.com/best-colleges/\%22/best-colleges/neumann-university-3988\%22,"RNP, Regional Universities (North)",71.26%,2.9,950 / 21
Nevada State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/nevada-state-college-41143\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
New College of Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-college-of-florida-153704\%22,"#89, National Liberal Arts Colleges",59.57%,4,1410 / 31
New England College,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-england-college-2579\%22,"RNP, Regional Universities (North)",64.57%,2.7,1010 / 25
New England Conservatory of Music,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-england-conservatory-of-music-2194\%22,"Unranked, Arts Schools",33.06%,N/A,N/A
New England Institute of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-england-institute-of-art-7486\%22,"Unranked, Arts Schools",N/A,N/A,N/A
New England Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-england-institute-of-technology-7845\%22,"Unranked, Regional Colleges (North)",N/A,N/A,N/A
New Jersey City University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-jersey-city-university-2613\%22,"RNP, Regional Universities (North)",43.67%,3.2,950
New Jersey Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-jersey-institute-of-technology-2621\%22,"#150, National Universities",63.66%,N/A,1260
New Mexico Highlands University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-highlands-university-2653\%22,"Unranked, Regional Universities (West)",100.00%,2.9,1000 / 19
New Mexico Institute of Mining and Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-institute-of-mining-and-technology-2654\%22,"#24, Regional Universities (West)",31.06%,3.7,1370 / 29
New Mexico State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-state-university-2657\%22,"#190, National Universities",80.06%,3.4,1120 / 24
New Orleans Baptist Theological Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-orleans-baptist-theological-seminary-2019\%22,Unranked,N/A,N/A,N/A
New School,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-school-20662\%22,"#135, National Universities",65.03%,3.3,1245 / 27
New York Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-york-institute-of-technology-4804\%22,"#48, Regional Universities (North)",66.29%,3.5,1220 / 27
New York University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-york-university-2785\%22,"#32, National Universities",35.04%,3.6,1450 / 32
Newberry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/newberry-college-3440\%22,"#35, Regional Colleges (South)",61.19%,3.4,1070 / 22
Newbury College,http://premium.usnews.com/best-colleges/\%22/best-colleges/newbury-college-7484\%22,"RNP, Regional Colleges (North)",62.08%,N/A,970
Newman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/newman-university-1939\%22,"#108, Regional Universities (Midwest)",44.34%,3.6,1180 / 28
Niagara University,http://premium.usnews.com/best-colleges/\%22/best-colleges/niagara-university-2788\%22,"#54, Regional Universities (North)",68.70%,N/A,1150 / 25
Nicholls State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/nicholls-state-university-2005\%22,"RNP, Regional Universities (South)",91.78%,3.2,1050 / 23
Nichols College,http://premium.usnews.com/best-colleges/\%22/best-colleges/nichols-college-2197\%22,"#27, Regional Colleges (North)",73.85%,N/A,N/A
Norfolk State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/norfolk-state-university-3765\%22,"RNP, Regional Universities (South)",67.30%,2.8,940 / 19
North Carolina A&T State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-at-state-university-2905\%22,"RNP, National Universities",69.64%,3.3,980 / 21
North Carolina Central University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-central-university-2950\%22,"#68, Regional Universities (South)",50.33%,3,930 / 19
North Carolina State University--Raleigh,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-state-university-raleigh-2972\%22,"#101, National Universities",49.61%,3.5,1300 / 29
North Carolina Wesleyan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-wesleyan-college-2951\%22,"#74, Regional Colleges (South)",46.76%,2.9,970 / 20
North Central College,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-central-college-1734\%22,"#13, Regional Universities (Midwest)",60.22%,3.6,N/A / 27
North Central University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-central-university-2369\%22,"#71, Regional Colleges (Midwest)",96.87%,N/A,1220 / 25
North Dakota State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-dakota-state-university-9265\%22,"#190, National Universities",83.55%,3.4,1230 / 26
North Greenville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-greenville-university-3441\%22,"#30, Regional Colleges (South)",60.49%,3.5,1330 / 31
North Park University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-park-university-1735\%22,"#53, Regional Universities (Midwest)",42.46%,N/A,1170 / 25
Northcentral University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northcentral-university-666122\%22,"Unranked, National Universities",N/A,N/A,N/A
