IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
431956,Virginia Sewing Machines and School Center,165370,/m/0clw32q,03150500,NO
431965,Vogue Beauty School,165389,/m/0clw33l,03116100,NO
431983,Yeshiva of the Telshe Alumni,165404,/m/02q73jb,02546300,YES
432074,Northeast Technology Center-Kansas,165413,/m/0clw31m,02052703,NO
432083,Center of Advanced Therapeutics,165422,,,
432117,Kenneth Shuler School of Cosmetology-Rock Hill,165440,/m/0clw334,01209200,NO
432144,South Orange County Community College District,,/m/0k7ln3d,03343300,NO
432199,DeVry College of New York,,/m/0clw37r,01072795,YES
432214,DeVry University-Indiana,,/m/0clw372,01072747,YES
432223,University of Phoenix-Western Washington Campus,,/m/0clw36n,52098845,YES
432232,University of Phoenix-Central Florida Campus,,/m/0clw35s,32098813,YES
432241,University of Phoenix-Oregon Campus,,/m/0gvkt_v,42098847,YES
432269,CET-El Paso,165510,/m/0clw353,02332838,NO
432278,BCRI Career Training,165529,,,
432296,Maric College - Carson,165538,,,
432302,Kaplan College-Riverside,,/m/0clw35_,02539102,NO
432311,Maric College - Los Angeles,165556,,,
432320,"U.S. Naval War College, The",165565,,,
432348,Appalachian School of Law,165574,/m/065krm,03559300,YES
432357,Long Island University-Westchester Campus,,/m/0clw366,00275124,YES
432384,Platt College-Ontario,165608,/m/0clw34x,03062701,YES
432524,Delaware College of Art and Design,165635,/m/03wdd4v,04139800,NO
432533,The Art Institute of California-Argosy University Los Angeles,165644,/m/097fw0,02179941,YES
433004,American University of Health Sciences,165662,/m/0clw36w,03225300,YES
433013,Career Networks Institute,165671,/m/0clw35k,03242300,NO
433040,Monty Tech,187976,/m/0clw34p,01288100,NO
433059,Montessori Schools of Washington,165699,,,
433068,CHOICE High School and Technical Center,165705,/m/0clw37j,03230300,NO
433101,Lincoln Technical Institute-Lincoln,,/m/04g4_c3,03232300,NO
433129,St. Joseph Hospital-School of Anesthesia for Nurses,165732,,,
433138,Wayne County Schools Career Center,165741,/m/0clw36f,00915600,NO
433156,Baystate Medical Center,165750,,,
433165,Blessing Hospital School of Medical Laboratory Technology,,/m/0clw379,00621401,NO
433174,Carolinas College of Health Sciences,165778,/m/06422jf,03104200,NO
433192,Hurley Medical Center,165787,,,
433217,Lester E Cox Medical Center-School of Medical Technology,165802,/m/0clw391,02068204,YES
433387,Western Governors University,165820,/m/07wn1b,03339400,YES
433420,Santa Barbara Business College-Ventura,180142,/m/0clw39q,00998900,YES
433466,Sullivan and Cogliano Training Center,,/m/09v14p9,04039300,NO
433536,Herzing University-Kenner,,/m/0clw3bt,00962110,YES
433563,Spencerian College-Lexington,,/m/0clw39h,00461802,NO
433660,Florida Gulf Coast University,165918,/m/04zjgd,03255300,YES
433855,Downeast School of Massage,165936,,,
433970,Seacoast Career Schools-Sanford Campus,200332,/m/0clw38v,03429300,NO
434016,Little Priest Tribal College,165954,/m/0fl88_,03323300,NO
434034,National Labor College,165963,/m/08pz2w,03455500,YES
434052,ITT Technical Institute-Richardson,,/m/0clw3bl,00732943,YES
434061,South Louisiana Community College,165981,/m/0cmd_vm,03956300,NO
434098,Sister Rosalind Gefre Schools and Clinics of Massage,165990,,,
434113,Rogies School of Beauty Culture-Caguas,166009,,,
434122,HRDE-Stanley Technical Institute-Parkersburg,166018,/m/0clw398,03123203,NO
434140,Pima Medical Institute-Chula Vista,,/m/0clw38d,02217106,NO
434159,Lincoln College of Technology-Marietta,,/m/0clw385,03232304,NO
434274,Academy of Hair Design,166045,/m/0clw39y,03276300,NO
434283,Academy of Hair Design,166054,/m/0clw37z,03277300,NO
434292,Anson College of Cosmetology,166063,,,
434308,Baltimore School of Massage,166072,/m/0clw3c0,03296300,NO
434317,Charter College-Canyon Country,166081,/m/0clw38m,03278300,NO
434326,David Demuth Institute of Cosmetology,166090,/m/0clw3bc,03262300,NO
434344,Toni & Guy Hairdressing Academy-Worcester,166115,/m/0clw3ff,03240300,NO
434353,Ivory Dental Technology College,166124,,,
434362,Northwest HVAC/R Training Center,166133,/m/0clw3gj,03283300,NO
434371,Elite Beauty College - Westminster,166142,/m/0h7gnvs,,
434380,L T International Beauty School,166151,/m/0clw3g2,03236400,NO
434414,Michigan Jewish Institute,166179,/m/0clw3cp,03284300,YES
434432,Myotherapy Institute,166188,/m/0clw3fn,03279300,NO
434441,Florida College of Integrative Medicine,166197,/m/0clw3cg,03238300,YES
434469,New Professions Technical Institute,166203,/m/0clw3cx,03224300,NO
434478,Puerto Rico Department of Health Dietetic Internship,166212,,,
434496,Strand College of Hair Design,166221,/m/0clw3d_,03293300,NO
434502,Cosmetology Career Insitute,166230,/m/0clw3gr,03275300,NO
434520,Branford Hall Career Institute-Southington Campus,,/m/0clw3d3,02074002,NO
434539,City College-Miami,,/m/04jj2qy,02515402,YES
434548,ITT Technical Institute-Arnold,,/m/0clw3f6,00732966,YES
434557,ITT Technical Institute-Oak Brook,,/m/0clw3c7,00732930,YES
434566,ITT Technical Institute-Albany,,/m/0clw3fw,00732916,NO
434575,ITT Technical Institute-Liverpool,,/m/0clw3g9,10732914,NO
434584,Ilisagvik College,166300,/m/04sgdz,03461300,NO
434672,The Community College of Baltimore County,166328,/m/08s00l,00206300,NO
434690,Golf Academy of America-Myrtle Beach,,/m/0clw3dk,03010614,NO
434715,Florida Coastal School of Law,166346,/m/0bbhds,03374300,YES
434751,White Earth Tribal and Community College,166355,/m/0clw3l0,03921400,NO
434812,Centura College-North Charleston,166364,/m/0clw3j1,03304300,NO
434821,Blue Cliff College-Metairie,166373,/m/0clw3lp,03294300,NO
434830,Creative Images Institute of Cosmetology-North Dayton,166382,/m/0clw3lx,03319300,NO
434900,Dewey University-Carolina Campus,,/m/0clw3jq,03112101,NO
434928,University of Northern Virginia,166416,,,
434937,Yeshiva College of the Nations Capital,166425,/m/0clw3l7,03937300,YES
