ID	Name	Median SAT score	Graduation rate	Retention rate
480	Marshall University	993	45	71
481	Johnson & Wales University	963	53	74
482	Southwestern College	915	51	64
483	Earlham College	1183	71	83
484	University of West Florida	991	45	74
485	Western Oregon University	903	46	70
486	Virginia State University	840	42	71
487	Charleston Southern University	980	38	63
488	Arkansas State University	946	39	70
489	Grand Valley State University	1091	62	83
490	Mercer University	1163	63	83
491	Grand View University	920	49	69
492	Winthrop University	1050	53	70
493	Southern Utah University	1005	36	64
494	Alma College	1084	66	80
495	Spelman College	1026	73	88
496	Jacksonville State University	972	29	68
497	University of North Carolina--Asheville	1177	55	81
498	Albertus Magnus College	893	43	76
499	University of North Alabama	978	32	69
500	Huntingdon College	926	46	59
501	SUNY--Fredonia	1050	65	84
502	University of Dubuque	896	36	69
504	Evergreen State College	1087	54	72
505	Caldwell College	927	51	76
506	Guilford College	1078	57	76
507	University of Southern Maine	1001	31	66
508	Murray State University	968	54	71
509	Wartburg College	1012	65	80
510	Bethel College - Mishawaka, IN	1023	62	80
511	Morehead State University	976	43	69
512	Alabama Agricultural and Mechanical University	826	32	69
513	University of North Carolina--Wilmington	1156	68	86
514	Florida Gulf Coast University	1037	46	75
515	Coastal Carolina University	1000	47	64
516	Arkansas Tech University	1018	42	70
517	Union University		67	91
518	Meredith College	1024	59	76
519	Alabama State University	855	26	62
520	Berea College	1144	66	81
521	Northwestern College	1017	63	78
522	MidAmerica Nazarene University	963	51	75
523	University of Montevallo	1147	47	76
524	Alcorn State University	886	32	69
525	College of the Ozarks	1038	62	86
526	University of Arkansas--Pine Bluff	807	28	58
527	Asbury University	1113	76	81
528	Faulkner University	907	32	54
529	University of Wisconsin--Platteville	1038	51	75
530	University of Wisconsin--Eau Claire	1164	66	83
531	University of Wisconsin--Milwaukee	999	43	72
532	University of Northern Iowa	1057	66	82
533	University of Wisconsin--La Crosse	1091	71	86
534	Morningside College	1018	59	72
535	St. Ambrose University		63	78
536	University of Michigan--Dearborn	1133	52	82
537	University of Wisconsin--Parkside	960	30	63
538	University of Wisconsin--Stout	1018	52	72
539	Augustana College - Sioux Falls, SD		66	84
540	Clarke University	1038	63	78
541	University of Wisconsin--Oshkosh	1018	52	76
542	University of Wisconsin--River Falls	1018	54	73
543	Southeastern Louisiana University	999	34	68
544	Simpson College	1096	67	81
545	University of Wisconsin--Green Bay	1057	51	74
546	University of Wisconsin--Stevens Point	1074	59	81
547	Fort Hays State University	985	42	68
548	Upper Iowa University	1018	41	64
549	Mount Mercy University	1018	54	79
550	Jackson State University	883	42	75
551	Mississippi Valley State University	825	29	58
552	Grambling State University		28	65
553	Strayer University	1003	5
555	Ashford University	1010	28	42
558	Albany State University	890	39	70
560	Eastern Nazarene College	956	48	67
563	Marymount University	1001	50	70
571	Roosevelt University	1059	44	58
574	Columbia College Chicago	1085	39
575	Grace University	925	36	82
576	Siena Heights University	989	43	70
577	University of Phoenix	1000	5
578	Agnes Scott College	1166	64	83
579	McGill University	1240
580	Loyola University New Orleans	1158	58	78
584	Academy of Art University		33	64
585	Oklahoma Panhandle State University	830	28	54
587	Hood College	1071	60	79
590	Eastern Michigan University	1015	37	75
591	Sam Houston State University	1009	49	74
594	University of West Georgia	953	36	72
595	Abilene Christian University	1080	59	74
596	Abraham Baldwin Agricultural College	620		62
597	Acadia University
598	Adams State University		27	54
599	Adrian College	939	59	71
600	Adventist University of Health Sciences
601	AIB College of Business			67
602	Alaska Pacific University	1037	52	71
603	Albany College of Pharmacy and Health Sciences
604	Albright College	1066	53	74
605	Alderson Broaddus University	931	42	67
606	Alfred University	1092	63	73
607	Alice Lloyd College	925	37	58
608	Allen College
609	Allen University	710	21	51
610	Alliant International University		29
611	Alvernia University	952	51	73
612	Alverno College		39	71
613	Amberton University
614	American Academy of Art		45
615	American Indian College of the Assemblies of God		48
616	American InterContinental University	750
617	American International College	876	39	63
618	American Jewish University		42	90
619	American Public University System	826		93
620	American University in Bulgaria
621	American University in Cairo	1100
622	American University of Beirut	1119
623	American University of Paris
624	American University of Puerto Rico
625	Amridge University		23
626	Anderson University - Anderson, IN	1041	57	76
627	Anderson University - Anderson, SC	1054	48	73
628	Angelo State University	944	31	61
629	Anna Maria College	864	51	58
630	Antioch University
631	Appalachian Bible College
632	Appalachian State University	1133	67	87
633	Aquinas College - Grand Rapids, MI		52	75
634	Aquinas College - Nashville, TN	1215	49	64
635	Arcadia University	1099	65	78
636	Argosy University
637	Arizona Christian University	1017
638	Arizona State University--West
639	Arkansas Baptist College		3	43
640	Armstrong Atlantic State University	1010	31	69
641	Art Academy of Cincinnati		35
642	Art Center College of Design		66	82
643	Art Institute of Atlanta		33
644	Art Institute of Colorado		33
645	Art Institute of Houston		29
646	Art Institute of Pittsburgh		43
647	Art Institute of Portland		35
648	Art Institute of Seattle		35
649	Ashland University	1040	60	72
650	Assumption College	1110	75	83
651	Athens State University
652	Auburn University--Montgomery		29	56
653	Augsburg College	1086	61	80
654	Augustana College - Rock Island, IL	1166	78	85
655	Aurora University		49	73
656	Austin Peay State University	993	38	69
657	Ave Maria University	1089	60	68
658	Averett University	939	40	57
659	Avila University		45	70
660	Bacone College		12	34
661	Baker College of Flint		15
662	Baker University	1005	55	77
663	Baldwin Wallace University	1068	68	83
664	Baptist Bible College
665	Baptist Bible College and Seminary
666	Baptist College of Florida	1010
667	Baptist Memorial College of Health Sciences
668	Baptist Missionary Association Theological Seminary
669	Bard College	1315	79	88
670	Bard College at Simon's Rock	1277	32	73
671	Barton College	952	47	67
672	Bastyr University
673	Bates College	1349	88	94
674	Bauder College		33	33
675	Bay Path College	972	50	74
676	Bay State College		6	75
677	Bayamon Central University
678	Beacon College		72
679	Becker College	997	29	65
680	Belhaven University	1034	46	69
681	Bellevue College
682	Bellevue University	1140	34	76
683	Bellin College
684	Belmont Abbey College	1008	43	64
685	Bemidji State University		46	70
686	Benedict College		29
687	Benedictine College	1140	58	78
688	Benedictine University		53	76
689	Benjamin Franklin Institute of Technology
690	Bennett College	755	34	70
691	Bennington College	1293	64	86
692	Bentley University	1196	87	94
693	Berkeley College - Woodland Park, NJ		34
694	Berkeley College - New York, NY		32	50
695	Berklee College of Music	826	53	82
696	Bethany College - Lindsborg, KS		37	61
697	Bethany College - Bethany, WV	872	48	62
698	Bethany Lutheran College		51	72
699	Bethel College - North Newton, KS	1067	58	75
700	Bethel University - McKenzie, TN	1025	39	62
701	Bethune-Cookman University	801	43	68
702	BI Norwegian Business School
703	Bismarck State College
704	Black Hills State University		29	62
705	Blackburn College	914	45	64
706	Blessing-Rieman College of Nursing
707	Bloomfield College	843	37	69
708	Bloomsburg University of Pennsylvania	981	64	80
709	Blue Mountain College	1020	41	76
710	Bluefield College	911	30	58
711	Bluefield State College	925	26	58
712	Bluffton University	1089	57	67
713	Boricua College		35
714	Boston Architectural College		10	60
715	Boston Conservatory		58	85
716	Bowie State University	889	35	72
717	Bradley University	1160	78	87
718	Brandman University	1210
719	Brazosport College		37	51
720	Brenau University	956	45	69
721	Brescia University	956	46	58
722	Brevard College	984	32	58
723	Brewton-Parker College		23	45
724	Briar Cliff University	950	43	65
725	Briarcliffe College		26
726	Bridgewater College	1030	57	74
727	Bridgewater State University	1010	54	81
728	Brigham Young University--Hawaii		53	56
729	Brigham Young University--Idaho		53	73
730	Brock University
731	Bryan College	1094	49	72
732	Bryn Athyn College of the New Church	990	38	72
733	Bryn Mawr College	1320	82	92
734	Buena Vista University	1004	51	71
735	Burlington College	1061	23	61
736	Cabarrus College of Health Sciences
737	Cabrini College	915	48	70
738	Cairn University	1020	58	78
739	California Baptist University	963	59	76
740	California College of the Arts	1066	49	76
741	California Institute of Integral Studies
742	California Institute of the Arts	908	64	84
743	California Lutheran University	1113	60	83
744	California Maritime Academy	1072	53	80
745	California State University--Channel Islands		53	79
746	California State University--Monterey Bay	968	37	77
747	California University of Pennsylvania		54	75
748	Calumet College of St. Joseph	809	29	55
749	Calvary Bible College and Theological Seminary
750	Cambridge College		8	32
751	Cameron University		19	56
752	Campbell University	1025	51	73
753	Campbellsville University	993	42	67
754	Canisius College	1099	68	83
755	Capella University	826		39
756	Capital University	1087	59	75
757	Capitol College		35
758	Cardinal Stritch University	1075	43	68
759	Caribbean University
760	Carleton University
761	Carlos Albizu University
762	Carlow University		50	74
763	Carroll College	1097	62	82
764	Carroll University		59	77
765	Carson-Newman University	1005	55	66
766	Carthage College	1165	60	75
767	Castleton State College	960	41	70
768	Catawba College	939	51	70
769	Cazenovia College	974	46	67
770	Cedar Crest College	987	61	74
771	Cedarville University	1182	72	85
772	Centenary College of Louisiana	1160	56
773	Central Baptist College	883	32	59
774	Central Bible College
775	Central Christian College		35	65
776	Central Methodist University		50	67
